Model,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1 Score,MCC,FPR,FNR,ROC AUC,PR AUC
Gradient Boosting,0.9896049896049897,0.9905422446406054,0.9774436090225563,1.0,0.9810844892812106,0.9885931558935361,0.9792623570622319,0.018915510718789406,0.0,0.9939683771461829,0.9855771035631675
Random Forest,0.9896049896049897,0.9905422446406054,0.9774436090225563,1.0,0.9810844892812106,0.9885931558935361,0.9792623570622319,0.018915510718789406,0.0,0.993395091667475,0.9876560445883773
Logistic Regression,0.9812889812889813,0.9826986128625472,0.962852897473997,0.9969230769230769,0.9684741488020177,0.9795918367346939,0.9628229280304567,0.031525851197982346,0.003076923076923077,0.9965137258705985,0.9945214104278142
Linear SVM,0.9778239778239778,0.9789911727616645,0.9611940298507463,0.9907692307692307,0.9672131147540983,0.9757575757575757,0.9557044964189519,0.03278688524590164,0.009230769230769232,0.9962964400038801,0.9944287598524254
