race,Sample Size,Base Rate,Accuracy,Balanced Accuracy,Precision,Recall / TPR,Specificity / TNR,F1 Score,Selection Rate,FPR,FNR,Stage
African-American,736.0,0.5081521739130435,0.9864130434782609,0.9861878453038674,0.9739583333333334,1.0,0.9723756906077348,0.9868073878627969,0.5217391304347826,0.027624309392265192,0.0,Before Mitigation
Caucasian,486.0,0.3683127572016461,0.9917695473251029,0.993485342019544,0.9781420765027322,1.0,0.9869706840390879,0.988950276243094,0.3765432098765432,0.013029315960912053,0.0,Before Mitigation
African-American,736.0,0.5081521739130435,0.938858695652174,0.938598694123556,0.9272727272727272,0.9545454545454546,0.9226519337016574,0.9407114624505929,0.5230978260869565,0.07734806629834254,0.045454545454545456,After Mitigation
Caucasian,486.0,0.3683127572016461,0.9156378600823045,0.923907702946154,0.8382352941176471,0.9553072625698324,0.8925081433224755,0.8929503916449086,0.41975308641975306,0.10749185667752444,0.0446927374301676,After Mitigation
