sex,Sample Size,Base Rate,Accuracy,Balanced Accuracy,Precision,Recall / TPR,Specificity / TNR,F1 Score,Selection Rate,FPR,FNR
Female,291.0,0.35738831615120276,0.993127147766323,0.9946524064171123,0.9811320754716981,1.0,0.9893048128342246,0.9904761904761905,0.3642611683848797,0.0106951871657754,0.0
Male,1152.0,0.4739583333333333,0.9887152777777778,0.9892739273927393,0.9767441860465116,1.0,0.9785478547854786,0.9882352941176471,0.4852430555555556,0.02145214521452145,0.0
