Feature,Mean Absolute SHAP
categorical__out_custody_2014-07-19,6.0217096812572624e-05
categorical__c_case_number_13010359CF10A,5.9653092902070015e-05
categorical__c_case_number_13007596CF10A,5.7699174714948405e-05
categorical__r_case_number_15035132TC20A,5.008683430121235e-05
categorical__out_custody_2013-09-05,4.176994087182503e-05
categorical__c_case_number_13017254CF10A,3.340262586676233e-05
categorical__r_case_number_16001489MM40A,2.9919251712810334e-05
numeric__age,4.695318208310558e-18
categorical__r_case_number_14013036CF10A,0.0
categorical__r_case_number_14013415CF10A,0.0
categorical__r_case_number_14012867CF10A,0.0
categorical__r_case_number_14013034MM10A,0.0
categorical__r_case_number_14012952CF10A,0.0
categorical__r_case_number_14012868MM10A,0.0
categorical__r_case_number_14013516CF10A,0.0
categorical__r_case_number_14012934MM10A,0.0
categorical__r_case_number_14013453CF10A,0.0
categorical__r_case_number_14013504CF10A,0.0
categorical__r_case_number_14013457MM10A,0.0
categorical__r_case_number_14012918CF10A,0.0
categorical__r_case_number_14013412CF10A,0.0
categorical__r_case_number_14013163CF10A,0.0
categorical__r_case_number_14013174CF10A,0.0
categorical__r_case_number_14013152CF10A,0.0
categorical__r_case_number_14013141CF10A,0.0
categorical__r_case_number_14013182CF10A,0.0
categorical__r_case_number_14013233CF10A,0.0
categorical__r_case_number_14013119CF10A,0.0
categorical__r_case_number_14013106TC10A,0.0
categorical__r_case_number_14013251MM10A,0.0
categorical__r_case_number_14013070MM10A,0.0
categorical__r_case_number_14013106MM10A,0.0
categorical__r_case_number_14013096CF10A,0.0
categorical__r_case_number_14013080CF10A,0.0
categorical__r_case_number_14013325MM10A,0.0
categorical__r_case_number_14013332CF10A,0.0
categorical__r_case_number_14013348TC10A,0.0
categorical__r_case_number_14013357CF10A,0.0
categorical__r_case_number_14013062MM10A,0.0
categorical__r_case_number_14013394MM10A,0.0
categorical__r_case_number_14013041MM10A,0.0
categorical__r_case_number_14013253CF10A,0.0
categorical__r_case_number_14011594MM10A,0.0
categorical__r_case_number_14011609TC20A,0.0
categorical__r_case_number_14011610MM10A,0.0
categorical__r_case_number_14011621CF10A,0.0
categorical__r_case_number_14011625CF10A,0.0
categorical__r_case_number_14011636MM10A,0.0
categorical__r_case_number_14011659MM10A,0.0
categorical__r_case_number_14011706MM10A,0.0
categorical__r_case_number_14011779MM10A,0.0
categorical__r_case_number_14012559TC10A,0.0
categorical__r_case_number_14011842MM10A,0.0
categorical__r_case_number_14011846CF10A,0.0
categorical__r_case_number_14011929MU10A,0.0
categorical__r_case_number_14011963MM10A,0.0
categorical__r_case_number_14011964MM10A,0.0
categorical__r_case_number_14011974CF10A,0.0
categorical__r_case_number_14011978CF10A,0.0
categorical__r_case_number_14012031CF10A,0.0
categorical__r_case_number_14012031MM10A,0.0
categorical__r_case_number_14011838CF10A,0.0
categorical__r_case_number_14011104CF10A,0.0
categorical__r_case_number_14011170MM10A,0.0
categorical__r_case_number_14011209TC30A,0.0
categorical__r_case_number_14011224MM10A,0.0
