Model,Accuracy,Balanced Accuracy,Precision,Recall,Specificity,F1 Score,MCC,FPR,FNR,ROC AUC,PR AUC
Baseline — Gradient Boosting,0.9896049896049897,0.9905422446406054,0.9774436090225563,1.0,0.9810844892812106,0.9885931558935361,0.9792623570622319,0.018915510718789406,0.0,0.9939683771461829,0.9855771035631675
Fairlearn Mitigated Logistic Regression,0.9355509355509356,0.9383102143757882,0.8984263233190272,0.9661538461538461,0.9104665825977302,0.9310600444773907,0.8727297960604444,0.08953341740226986,0.033846153846153845,,
