race,Sample Size,Base Rate,Accuracy,Balanced Accuracy,Precision,Recall / TPR,Specificity / TNR,F1 Score,Selection Rate,FPR,FNR
African-American,736.0,0.5081521739130435,0.9864130434782609,0.9861878453038674,0.9739583333333334,1.0,0.9723756906077348,0.9868073878627969,0.5217391304347826,0.027624309392265192,0.0
Asian,4.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0
Caucasian,486.0,0.3683127572016461,0.9917695473251029,0.993485342019544,0.9781420765027322,1.0,0.9869706840390879,0.988950276243094,0.3765432098765432,0.013029315960912053,0.0
Hispanic,126.0,0.42857142857142855,0.9920634920634921,0.9930555555555556,0.9818181818181818,1.0,0.9861111111111112,0.9908256880733946,0.4365079365079365,0.013888888888888888,0.0
Native American,5.0,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.0,0.0
Other,86.0,0.45348837209302323,1.0,1.0,1.0,1.0,1.0,1.0,0.45348837209302323,0.0,0.0
