Protected Attribute,Demographic Parity Difference,Demographic Parity Ratio,Equalized Odds Difference,Equalized Odds Ratio,Accuracy Difference,Accuracy Ratio,TPR Difference,FPR Difference,FNR Difference,Selection Rate Difference,Stage
race,0.14519592055823938,0.7217078189300412,0.01459499343135314,0.47166123778501634,0.005356503846842053,0.9945990438390763,0.0,0.01459499343135314,0.0,0.14519592055823938,Before Mitigation
race,0.10334473966720348,0.8024370691037357,0.030143790379181898,0.7195714046542775,0.023220835569869425,0.9752669537200812,0.0007618080243778635,0.030143790379181898,0.0007618080243778566,0.10334473966720348,After Mitigation
